name,brand,manufacturer,certification_level,certification_description,ingredients,product_description,usage,image_url,page_number
BIO-PFLEGEÖL AVOCADOÖL,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","PERSEA GRATISSIMA OIL*.  
     * certified organic",,,,
BIO-PFLEGEÖL CALENDULAÖL,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","HELIANTHUS ANNUUS SEED OIL*, CALENDULA OFFICINALIS FLOWER EXTRACT*, TOCOPHEROL. 
     * certified organic",,,,
BIO-PFLEGEÖL GRANATAPFELSAMENÖL,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","PUNICA GRANATUM SEED OIL*. 
     * certified organic",,,,
BIO-PFLEGEÖL JOHANNISKRAUTÖL,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","OLEA EUROPAEA FRUIT OIL*, HYPERICUM PERFORATUM FLOWER EXTRACT*. 
     * certified organic",,,,
BIO-PFLEGEÖL JOJOBAÖL,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","SIMMONDSIA CHINENSIS SEED OIL*.
     * certified organic",,,,
BIO-PFLEGEÖL KOKOSNUSSÖL,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","COCOS NUCIFERA OIL*. 
    * certified organic",,,,
BIO-PFLEGEÖL MANDELÖL,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","PRUNUS AMYGDALIS DULCIS OIL*.
      * certified organic",,,,
BIO-PFLEGEÖL NACHTKERZENÖL,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","OENOTHERA BIENNIS OIL*, TOCOPHEROL. 
     * certified organic",,,,
BIO-PFLEGEÖL SESAMÖL,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","SESAMUM INDICUM SEED OIL*.
     * certified organic",,,,
BIO-PFLEGEÖL WILDROSENÖL,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","ROSA CANINA SEED OIL*. 
     * certified organic",,,,
BIO ÖL,kneipp Natural Cosmetics,Kneipp GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Carthamus Tinctorius (Safflower) Seed Oil**, Olea Europaea (Olive) Fruit Oil**, Limonene*, Citrus Paradisi (Grapefruit) Fruit Extract, Citral*, Linalool*, Citronellol*, Farnesol* , Geraniol* , Helianthus Annuus (Sunflower) Seed Oil, Tocopherol.
       * from natural essential oil
    ** certified organic ingredients",,,,
BIRCH CELLULITE OIL,Weleda,Weleda AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Prunus Armeniaca (Apricot) Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil*, Triticum Vulgare (Wheat) Germ Oil, Fragrance (Parfum)**, Betula Alba Leaf Extract, Limonene**, Ruscus Aculeatus Root Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract*, Linalool**, Citronellol**, Geraniol**, Citral**.
     *of controlled biological cultivation 
   ** from natural essential oils",,,,
CALENDULA MASSAGE OIL,Weleda,Weleda AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Helianthus Annuus (Sunflower) Seed Oil*, Betula Alba Leaf Extract, Calendula Officinalis Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Fragrance (Parfum)**, Limonene**, Linalool**, Citronellol**, Geraniol**, Citral**
     *of controlled biological cultivation 
   ** from natural essential oils",,,,
CARE SHAMPOO WITH ORGANIC NETTLE EXTRACT,Logona,LOGOCOS Naturkosmetik GMBH & CO. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua (Water), Coco-Glucoside, Alcohol*, Glycerin, Disodium Cocoyl Glutamate, Sodium Cocoyl Glutamate, Sodium PCA, Xanthan Gum, Glyceryl Oleate, Citric Acid, Urtica Dioica (Nettle) Extract*, Phytic Acid, Levulinic Acid, Sodium Levulinate, Tocopherol, Hydrogenated Palm Glycerides Citrate, Lecithin, Ascorbyl Palmitate, Parfum (Fragrance)**, Limonene**, Linalool** 
     *  from certified organic agriculture
   ** natural essential oil",,,,
CITRUS REFRESHING BODY OIL,Weleda,Weleda AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Prunus Amygdalus Dulcis (Sweet Almond) Oil, Alcohol*, Citrus Limon (Lemon) Peel Oil*, Water (Aqua), Fragrance (Parfum)**, Limonene**, Linalool**, Citronellol**, Geraniol**, Citral**
     *of controlled biological cultivation 
   ** from natural essential oils",,,,
CLARIFYING CLAY MASK,Dr. Hauschka,Wala Heilmittel GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Loess, Tropaeolum Majus Flower/Leaf/Stem Extract, Hamamelis Virginiana Bark/Leaf Extract, Zea Mays Starch.",,,,
CLARIFYING TONER,Dr. Hauschka,Wala Heilmittel GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Aqua, Alcohol, Anthyllis Vulneraria Extract, Calendula Officinalis Flower Extract, Tropaeolum Majus Flower/Leaf/Stem Extract, Aesculus Hippocastanum Bark Extract, Echinacea Pallida Extract, Hamamelis Virginiana Bark/Leaf Extract, Bellis Perennis Flower Extract, Parfum*, Citronellol*, Geraniol*, Linalool*, Lactic Acid.
     * from natural essential oils",,,,
CLEAR GESICHTSFLUID HEILERDE BIO-GRÜNTEE,alverde Naturkosmetik,dm-drogerie markt GmbH + Co. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Alcohol, Glycerin, Brassica Campestris Seed Oil, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Glyceryl Stearate, Loess, Myristyl Alcohol, Potassium Palmitoyl Hydrolyzed Wheat Protein, Prunus Amygdalus Dulcis (Sweet Almond)Oil, Cimicifuga Racemosa Root Extract, Camellia Sinensis Leaf Extract, Helianthus Annuus (Sunflower) Seed Oil, Xanthan Gum, Zinc PCA, Maltodextrin, Tocopherol, Sodium Hydroxide, Levulinic Acid, Sodium Levulinate, Parfum (Natural Essential Oils), Linalool, Citronellol, CI77891, CI77492, CI77491, CI77499",,,,
CLEAR GESICHTSTONIC HEILERDE BIO-GRÜNTEE,alverde Naturkosmetik,dm-drogerie markt GmbH + Co. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Alcohol, Kaolin, Glycerin, Zinc Oxide, Loess, Zinc PCA, Cimicifuga Racemosa Root Extract, Camellia Sinensis Leaf Extract, Levulinic Acid, Galactoarabinan, Maltodextrin, Sodium Levulinate, Sodium Hydroxide, Lactic Acid, Parfum (Natural Essential Oils), Linalool, Citronellol, CI77491, CI77492, CI77499",,,,
CLEAR WASCHCREME HEILERDE BIO-GRÜNTEE,alverde Naturkosmetik,dm-drogerie markt GmbH + Co. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"AQUA, ZEA MAYS OIL, SORBITOL, COCO-GLUCOSIDE, CETEARYL ALCOHOL, LOESS, DISODIUM COCOYL GLUTAMATE, GLYCERIN, XANTHAN GUM, SODIUM COCOYL GLUTAMATE, PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL, CAMELLIA SINENSIS LEAF EXTRACT, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, TOCOPHEROL, MALTODEXTRIN, CITRIC ACID, LEVULINIC ACID, SODIUM ANISATE, SODIUM LEVULINATE, PARFUM (NATURAL ESSENTIAL OILS), LINALOOL , CITRONELLOL",,,,
COLD COMFORT ORGANIC BALM,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Helianthus Annuus (Sunflower) Seed Oil* org, Prunus Amygdalus Dulcis (Sweet Almond) Oil* org, Glycerin, Water (Aqua), Sucrose Laurate, Fragrance (Parfum)**, Eucalyptus Globulus Leaf/Twig Oil* org, Pinus Cembra Leaf/Twig Oil* org, Citrus Aurantium Dulcis (Orange) Fruit Water* org, Tocopherol, Limonene**, Geraniol**, Citral**, Citronellol**, Benzyl Benzoate**, Linalool**
     * org = certified organic cultivation
   ** from 100% natural essential oils",,,,
COLD CREAM NUTRI-PROTECTIVE CREAM,Weleda,Weleda AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Water (Aqua), Prunus Amygdalus Dulcis (Sweet Almond) Oil, Arachis Hypogaea (Peanut) Oil*, Beeswax (Cera Alba), Alcohol denat, Glyceryl Oleate, Fragrance (Parfum)**, Sorbitan Olivate, Zinc Sulfate, Limonene**, Linalool**, Citronellol**, Geraniol**, Citral**.
     * of controlled biological cultivation 
   ** from natural essential oils",,,,
COLOSTRUM BALSAM,QuraDea,Swiss Bio Colostrum AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"water (solvent), organic cow colostrum (active ingredient), glycerin (herbal moisturizer), wheat protein (vegetabile emulsifier), organic jojoba oil (refatting), glyceryl stearates (vegetabile refatting), organic almond oil (moisturizer), organic apricot kernel oil (moisturizer), organic evening primrose oil (active ingr.), organic avocado oil (emulsifier),honeysuckle extract (conservation), cetyl alcohol (vegetabile co-emulsifier), cetearyl alcohol (vegetabile co-emulsifier), organic arnica extract (active ingredient), cinnamon bark distillate (preservation), vitamin E (oil stabilizer), essential oils: limonene, linalool, geraniol",,,,
COLOSTRUM GESICHTSCREME LEICHT UV SCHUTZ,QuraDea,Swiss Bio Colostrum AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"water (solvent), glycerin (herbal moisturizer), organic colostrum (active ingredient), organic jojoba oil (refatting), wheat protein (vegetabile emulsifier), organic olive oil (moisturiser), organic raspberry seed oil (active ingredient), organic avocado oil (emulsifier), shea butter (consistency enhancer), organic argan oil (moisturiser), glyceryl stearates (vegetabile refatting), cetearyl alcohol (vegetabile co-emulsifier), cetyl alcohol (vegetabile co-emulsifier), camomile flower extract (active ingredient), honeysuckle flower extract (preservation), cinnamon bark distillate (preservation), vitamin E (oil stabiliser), zinc oxides (mineral sunscreen), perfume (natural essential oils), linalool (oil comp. acc. to allergen regulation)",,,,
COLOUR REFLEX SHAMPOO ORGANIC HAZELNUT,Logona,LOGOCOS Naturkosmetik GMBH & CO. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua (Water), Alcohol denat.*, Coco-Glucoside, Glycerin, Disodium Cocoyl Glutamate, Sodium PCA, Sodium Cocoyl Glutamate, Glyceryl Oleate, Calendula Officinalis Flower Extract*, Corylus Avellana (Hazelnut) Seed Oil*, Betula Alba Leaf Extract*, Juglans Regia (Walnut) Shell Extract*, Caramel, Hydrolyzed Corn Protein, Hydrolyzed Wheat Protein, Hydrolyzed Soy Protein, Leuconostoc/Radish Root Ferment Filtrate, Xanthan Gum, Citric Acid, Phytic Acid, Tocopherol, Hydrogenated Palm Glycerides Citrate, Lecithin, Ascorbyl Palmitate, Parfum (Fragrance)**, Limonene**, Linalool**
     *  from certified organic agriculture
   ** natural essential oil",,,,
COLOUR REFLEX SHAMPOO ORGANIC HENNA,Logona,LOGOCOS Naturkosmetik GMBH & CO. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua (Water), Alcohol denat.*, Coco-Glucoside, Glycerin, Disodium Cocoyl Glutamate, Sodium PCA, Sodium Cocoyl Glutamate, Glyceryl Oleate, Calendula Officinalis Flower Extract*, Lawsonia Inermis (Henna) Extract*, Juglans Regia (Walnut) Shell Extract*, Betula Alba Leaf Extract*, Hydrolyzed Corn Protein, Hydrolyzed Wheat Protein, Hydrolyzed Soy Protein, Leuconostoc/Radish Root Ferment Filtrate, Xanthan Gum, Citric Acid, Phytic Acid, Tocopherol, Hydrogenated Palm Glycerides Citrate, Lecithin, Ascorbyl Palmitate, Parfum (Fragrance)**, Limonene**, Linalool**, CI 75120 (Annatto)
     *  from certified organic agriculture
   ** natural essential oil",,,,
COLOUR REFLEX SHAMPOO WITH ORGANIC CAMOMILE EXTRACT,Logona,LOGOCOS Naturkosmetik GMBH & CO. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua (Water), Coco-Glucoside, Alcohol*, Glycerin, Disodium Cocoyl Glutamate, Sodium PCA, Sodium Cocoyl Glutamate, Hydrolyzed Corn Protein, Xanthan Gum, Glyceryl Oleate, Hydrolyzed Wheat Protein, Hydrolyzed Soy Protein, Citric Acid, Chamomilla Recutita (Matricaria) Flower*, Leuconostoc/Radish Root Ferment Filtrate, Phytic Acid, Levulinic Acid, Urtica Dioica (Nettle) Extract*, Sodium Levulinate, Calendula Officinalis Flower Extract*, Tocopherol, Hydrogenated Palm Glycerides Citrate, Lecithin, Ascorbyl Palmitate, Parfum (Fragrance)**, Limonene** 
     *  from certified organic agriculture
   ** natural essential oil",,,,
DEFINING MASCARA 01,Dr. Hauschka,Wala Heilmittel GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Water (Aqua), Alcohol, Sorbitol, Ricinus Communis (Castor) Seed Oil, Cetearyl Alcohol, Camellia Sinensis Leaf Extract, Melia Azadirachta Leaf Extract, Euphrasia Officinalis Extract, Hectorite, Hydrogenated Jojoba Oil, Beeswax (Cera Alba), Rosa Damascena Flower Wax, Fragrance (Parfum)*, Citronellol*, Geraniol*, Linalool*, Xanthan Gum, Lysolecithin, Potassium Hydroxide, Silica, Iron Oxides (CI 77499), Titanium Dioxide (CI 77891), Ultramarines (CI 77007).
     * from natural essential oils",,,,
DEFINING MASCARA 02,Dr. Hauschka,Wala Heilmittel GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Water (Aqua), Alcohol, Sorbitol, Ricinus Communis (Castor) Seed Oil, Cetearyl Alcohol, Camellia Sinensis Leaf Extract, Melia Azadirachta Leaf Extract, Euphrasia Officinalis Extract, Hectorite, Hydrogenated Jojoba Oil, Beeswax (Cera Alba), Rosa Damascena Flower Wax, Fragrance (Parfum)*, Citronellol*, Geraniol*, Linalool*, Xanthan Gum, Lysolecithin, Maltodextrin, Potassium Hydroxide, Silica, Carmine (CI 75470), Iron Oxides (CI 77491, CI77492, CI 77499).
     * from natural essential oils",,,,
EDELSTEINÖL ANTI STRESS,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Simmondsia chinensis seed oil*, Parfum* (Natural Essential Oils), Linalool**, Benzyl benzoate**, Geraniol**, Limonene**.
      * certified organic
    ** part of natural essential oils

Main Ingredients
Jojoba oil*, a blend of natural essential oils*. 
    *certified organic",,,,
EDELSTEINÖL GEBORGENHEIT,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Simmondsia chinensis seed Oil*, Parfum (Natural Essential Oils), Limonene**, Benzyl Alcohol**, Linalool*. 
      * certified organic
    ** part of natural essential oils",,,,
EDELSTEINÖL GELASSENHEIT,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Simmondsia chinensis seed oil*, Parfum* (Natural Essential Oils), Geraniol**, Linalool**, Limonene**, Benzyl benzoate**.
     *certified organic
   **from natural essential oils.",,,,
EDELSTEINÖL IN FLUSS KOMMEN,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Simmondsia chinensis seed Oil*, Parfum (Natural Essential Oils*), Citral**, Limonene**.
      * certified organic
    ** part of natural essential oils

Main ingredients
Jojoba oil*, a blend of natural essential oils*. 
      * certified organic",,,,
EDELSTEINÖL JUNGBRUNNEN,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Simmondsia chinensis seed Oil*, Parfum (Natural Essential Oils*), Citral**, Limonene**.
      * certified organic
    ** part of natural essential oils",,,,
EDELSTEINÖL LEBENSFREUDE,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Simmondsia chinensis seed Oil*, Parfum (Natural Essential Oils*), Citral**, Citronellol**, Geraniol**, Linalol**, Limonene**.
      * certified organic
    ** part of natural essential oils",,,,
EDELSTEINÖL REGENERATION,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Simondsia Chinensis*, Parfum* (Natural Essential Oils), Citral**, Geraniol**, Linalol**, Limonene**. 
      * certified organic
    ** part of natural essential oils",,,,
ERFRISCHENDES REINIGUNGS-GEL,Oceanwell,oceanBASIS GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Maris Aqua, Aqua, Saccharomyces/Laminaria Saccharina Ferment, Lauryl Glucoside, Disodium Cocoyl Glutamate, Coco-Glucoside, Glyceryl Oleate, Alcohol (aus Fermentation der Algen), Xanthan Gum, Sodium Cocoyl Glutamate, Parfum (enthält/contains Linalool, Citral), konserviert mit/preserved with: Benzyl Alcohol, Natrium Benzoate, Potassium Sorbate.",,,,
ESSENTIAL SHAMPOO ORGANIC APPLE PEEL,Biokosma,Ebi-Pharm AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Sodium Coco-Sulfate, Coco-Glucoside, Glycerin, Citrus Aurantium Dulcis (Orange) Fruit Water*, Bentonite, Glyceryl Oleate, Lactic Acid, Malus Domestica (Apple) Juice*, Sodium Chloride, Malus Domestica (Apple) Fruit Extract*, Cucurbita Pepo (Pumpkin) Seed Extract*, Triticum Aestivum (Spelt) Seed Extract*, Hydrolyzed Wheat Protein, Triticum Vulgare (Wheat) Germ Oil, Tocopherol, Potassium Sorbate, Decyl Glucoside, Dicaprylyl Ether, Sodium Benzoate, Citric Acid, Benzoic Acid, Hydrogenated Palm Glycerides Citrate, Parfum, Dehydroacetic Acid, Benzyl Alcohol**, Citral** 
      *from controlled organic cultivation
    **component of essential oils",,,,
GENTLE CLEANSING MILK,Weleda,Weleda AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Water (Aqua), Sesamum Indicum (Sesame) Seed Oil*, Alcohol, Simmondsia Chinensis (Jojoba) Seed Oil*, Lysolecithin, Fragrance (Parfum)**, Glyceryl Stearate SE, Hamamelis Virginiana (Witch Hazel) Water, Iris Germanica Root Extract*, Xanthan Gum, Limonene**, Linalool**, Citronellol**, Geraniol**, Citral**
     * of controlled biological cultivation 
   ** from natural essential oils",,,,
GOOD MOOD ORGANIC AROMA ROLL-ON,PRIMAVERA,PRIMAVERA LIFE GmbH,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Water (Aqua), Alcohol* org, Polyglyceryl-10 Laurate, Citrus Aurantium Amara (Bitter Orange) Flower Water* org, Fragrance (Parfum)**, Xanthan Gum, Citral**, Geraniol**, Limonene**, Linalool**
     *from controlled biological cultivation
  ** from natural essential oils

Main Ingredients 
- Lime Essential Oil improves concentration and revives energy. 
- Orange Essential Oil enhances a happy mood. 
- Organic Orange Blossom Water eases stress.",,,,
GREASY HAIR SHAMPOO WITH ORGANIC LEMON BALM EXTRACT,Logona,LOGOCOS Naturkosmetik GMBH & CO. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua (Water), Coco-Glucoside, Alcohol*, Glycerin, Disodium Cocoyl Glutamate, Sodium PCA, Sodium Cocoyl Glutamate, Xanthan Gum, Betaine, Citric Acid, Citrus Aurantifolia (Lime) Oil, Glyceryl Oleate, Melissa Officinalis Leaf Extract*, Phytic Acid, Urtica Dioica (Nettle) Extract*, Levulinic Acid, Sodium Levulinate, Tocopherol, Hydrogenated Palm Glycerides Citrate, Lecithin, Ascorbyl Palmitate, Limonene**
     *  from certified organic agriculture
   ** natural essential oil",,,,
